a.born
1978
1960
1961
1967
1964
1960
1961
1967
1964
1960
1967
1961
1964
1940
1964
1975
1996
1974
1970
1961
1971
1962
1968
1969
1962
1968
1963
1963
1937
1960
1968
1951
1942
1929
1940
1971
1929
1970
1973
1967
1963
1968
1956
1961
1949
1956
1961
1948
1975
1977
1956
1964
1970
1930
1968
1951
1956
1930
1968
1958
1964
1947
1957
1956
1959
1955
1961
1953
1968
1940
1956
1958
1955
1950
1955
1967
1954
1963
1955
1963
1956
1937
1964
1946
1951
1960
1956
